ปี,เดือน,จังหวัด,อำเภอ,อปท.,ขยะมูลฝอยชุมชน(ตัน)
2563,เมษายน,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,417.23
2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,48.0
2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,430.46
2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,244.21
2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,602.59
2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,165.71
2563,เมษายน,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,258.25
2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,14409.85
2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,993.47
2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,944.81
2563,เมษายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,1163.44
2563,เมษายน,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,508.89
2563,เมษายน,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,738.47
2563,พฤษภาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,157.22
2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,111.83
2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,130.64
2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,232.13
2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,674.18
2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,141.14
2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,575.87
2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,280.0
2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,1527.02
2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,433.94
2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,1714.3
2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,579.84
2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,363.42
2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,1000.0
2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,252.91
2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,1380.1
2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,1858.55
2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,1639.55
2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,1208.01
2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,1603.17
2563,พฤษภาคม,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,188.63
2563,พฤษภาคม,นนทบุรี,บางบัวทอง,อบต.ละหาร,5031.08
2563,พฤษภาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,64.78
2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,810.47
2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,243.29
2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,712.0
2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,420.18
2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,740.76
2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,1799.48
2563,พฤษภาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,318.07
2563,พฤษภาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,215.29
2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,10800.5
2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,432.69
2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,48.0
2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,400.0
2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,254.63
2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,565.52
2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,215.48
2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,249.07
2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,14932.44
