,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะอินทรีย์ลงถัง(ตัน)
143,2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.บางขุนกอง,110.0
144,2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,2.15
145,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,665.28
146,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,557.14
147,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,500.51
148,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,130.0
149,2563,มิถุนายน,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.03
150,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,4.0
151,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.95
152,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,146.75
153,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,264.52
154,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,24.32
155,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,4.2
156,2563,มิถุนายน,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.5
157,2563,มิถุนายน,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.3
158,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,18.0
159,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,283.0
160,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,3.0
161,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,59.8
162,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,60.08
163,2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3916.0
164,2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,723.91
165,2563,กรกฎาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,40.42
166,2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,63.0
167,2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,120.0
168,2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,585.0
169,2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,277.0
170,2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,995.47
171,2563,กรกฎาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,201.36
172,2563,กรกฎาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,130.0
173,2563,กรกฎาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,2.15
174,2563,กรกฎาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,655.55
175,2563,กรกฎาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,698.35
176,2563,กรกฎาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,501.61
177,2563,กรกฎาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,100.0
178,2563,กรกฎาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,4.0
179,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,4.5
180,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.85
181,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,147.02
182,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,258.2
183,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,28.0
184,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,3.8
185,2563,กรกฎาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.5
