,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะรีไซเคิลลงถัง(ตัน)
145,2563,พฤษภาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,2.0
146,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,825.0
147,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,119.49
148,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,1.0
149,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,5.0
150,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,30.37
151,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3518.6
152,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,10.0
153,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,387.6
154,2563,มิถุนายน,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,6.0
155,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.73
156,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,21.07
157,2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,288.0
158,2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,2.0
159,2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,514.67
160,2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.บางขนุน,117.77
161,2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.บางขุนกอง,130.0
162,2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,9.25
163,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,332.64
164,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,325.13
165,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,492.16
166,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,60.0
167,2563,มิถุนายน,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.03
168,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,3.5
169,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,3.15
170,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,366.87
171,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,115.44
172,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,52.31
173,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,151.43
174,2563,มิถุนายน,นนทบุรี,บางใหญ่,อบต.บางใหญ่,5.0
175,2563,มิถุนายน,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,2.0
176,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,845.0
177,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,132.66
178,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,1.0
179,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,5.0
180,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,57.4
181,2563,มิถุนายน,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,28.16
182,2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3555.62
183,2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,11.0
