,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะติดเชื้อ (ตัน),ขยะกำจัดถูกต้อง(ตัน)
199,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0.25,0.25
200,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0.0,0.0
201,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,อบต.ละหาร,0.0,0.0
202,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.0,0.0
203,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0.0,0.0
204,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.0,0.0
205,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,15.0,15.0
206,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,9.174,9.174
207,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0.0,0.0
208,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,0.0,0.0
209,2563,พฤษภาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.0,0.0
210,2563,พฤษภาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.0,0.0
211,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,23.234,23.234
212,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,0.025,0.025
213,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0.0,0.0
214,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0.0,0.0
215,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,0.0,0.0
216,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,0.09,0.09
217,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0.003,0.0
218,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,0.0,0.0
219,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,57.26,57.26
220,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,0.0,0.0
221,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,0.03,0.03
222,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,0.0,0.0
223,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,0.0,0.0
224,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,0.0,0.0
